hypothesis_id,word,language,sense_from,sense_to,drift_type,drift_year,proposed_trigger,trigger_date,trigger_category,wikidata_qid,evidence_types,confidence,source_urls,source_titles,attributed_to,date
hyp-akademie-plato,Akademie,de,"the grove and gymnasium Akademeia northwest of Athens, sacred to Athena and named after the hero Akademos","an institution of higher learning or scholarship; a society of scholars, scientists, or artists",Metonymization,,Plato founds his school in the grove Akademeia,0387,Cultural,Q859,LexicographicNote,0.85,https://www.dwds.de/wb/Akademie,DWDS -- Akademie,curator,2026-05-23
hyp-alternativlos-merkel,alternativlos,de,having no alternative; describing a situation where no other course of action is available,"a political rhetoric device that falsely frames a debatable decision as the only possible option, suppressing discussion; widely mocked and criticised",Pejoration,2010,Angela Merkel's repeated use of 'alternativlos' 2009-2010,2010,Political,,FrequencyCorrelation; LexicographicNote,0.85,https://de.wikipedia.org/wiki/Alternativlos,Alternativlos -- Wikipedia,curator,2026-05-23
hyp-ampere-electrodynamics,ampere,en,the surname of the French physicist and mathematician Andre-Marie Ampere,the SI base unit of electric current; commonly clipped to 'amp',Metonymization,,Ampere founds electrodynamics,1820,Technology,Q675,LexicographicNote,0.9,https://www.etymonline.com/word/ampere,ampere -- Online Etymology Dictionary,curator,2026-05-23
hyp-angora-city,angora,en,"of or from Angora, the old name of Ancyra (modern Ankara) in central Turkey",the soft wool of the Angora goat (later also the Angora rabbit); the long-haired animals themselves,Metonymization,,"Angora (Ancyra / Ankara), Turkey",1745,Commercial,Q3640,LexicographicNote,0.85,https://www.etymonline.com/word/angora,Online Etymology Dictionary -- angora,curator,2026-05-23
hyp-arbeit-protestant,Arbeit,de,"toil, hardship, suffering; forced drudgery; associated with servitude and pain","work, labour; productive activity; a profession or occupation; a neutral or positive economic category",Amelioration,,Protestant Reformation and the valorisation of secular vocation (Beruf),1530,Cultural,Q12562,Speculative,0.5,https://www.dwds.de/wb/Arbeit,DWDS -- Arbeit,curator,2026-05-23
hyp-aspirin-bayer,aspirin,en,Bayer's proprietary brand name for acetylsalicylic acid as a pharmaceutical product,acetylsalicylic acid as a generic drug; loosely any common analgesic tablet,Broadening,,Bayer launches Aspirin brand,1899,Commercial,Q152051,LexicographicNote,0.9,https://en.wiktionary.org/wiki/aspirin,aspirin -- Wiktionary,curator,2026-05-23
hyp-assassin-crusades,assassin,en,"a member of the Nizari Ismaili order of Syria and Persia, known to the Crusaders as the Assassins","one who kills, especially a prominent person, by surprise attack, often for political reasons or for hire",Narrowing,,Crusader contact with the Nizari Ismailis,1192,Political,,LexicographicNote,0.8,https://www.etymonline.com/word/assassin,assassin -- Online Etymology Dictionary,curator,2026-05-23
hyp-atlas-mercator,atlas,en,"Atlas, the Titan of Greek myth condemned to hold up the sky or the heavens on his shoulders","a bound collection of maps; by extension a volume of systematic tables, charts, or illustrations on a given subject",Metonymization,,Mercator's 'Atlas' map collection (1595),1595,Cultural,Q6353,LexicographicNote,0.85,https://www.etymonline.com/word/atlas,Online Etymology Dictionary -- atlas,curator,2026-05-23
hyp-attack-polysemy,attack,en,an act of setting upon someone or something with force; a military or physical assault,"a sudden onset more generally: a bout of illness (e.g. heart attack), an offensive move in sport or a game, or a forceful piece of criticism",Broadening,,gradual polysemous extension of 'attack' across the 20th century,1950,Cultural,,ChangeSignalAlignment; Speculative,0.6,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/attack | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,SemEval-2020 Task 1 (English) -- graded change 0.82 for 'attack' | attack (n.) -- Online Etymology Dictionary | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-backfisch-literatur,Backfisch,de,"a small fish suitable only for frying rather than for the table whole; later, fried fish",an adolescent girl roughly fourteen to seventeen; a teenage girl no longer a child but not yet a woman,Metaphorization,,Student slang origin and 19th c. spread via the Backfischroman,1550,Cultural,,LexicographicNote,0.65,https://www.dwds.de/wb/Backfisch,DWDS -- Backfisch,curator,2026-05-23
hyp-bakelite-baekeland,bakelite,en,Leo Baekeland's brand name for his phenol-formaldehyde synthetic resin,"loosely, any hard moulded phenolic plastic of the early-twentieth-century type",Broadening,,Baekeland markets Bakelite resin,1909,Commercial,Q243442,LexicographicNote,0.75,https://en.wiktionary.org/wiki/Bakelite,Bakelite -- Wiktionary,curator,2026-05-23
hyp-ball-polysemy,ball,en,"a spherical or roughly round object, especially one used in a game or sport",extended and figurative uses: a formal social dance; informally a very enjoyable time (to have a ball); idiomatic alertness (on the ball),Broadening,,gradual polysemous extension of 'ball' across the 20th century,1950,Cultural,,ChangeSignalAlignment; Speculative,0.55,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/ball | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,SemEval-2020 Task 1 (English) -- graded change 0.67 for 'ball' | ball (n.1) -- Online Etymology Dictionary | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-banause-bildung,Banause,de,"from Greek banausos, a manual worker or artisan; one who works with the hands rather than the mind","a person without taste, sensibility, or appreciation for art and intellectual things; a cultural philistine",Pejoration,,"Neo-humanist cult of Bildung, late 18th to 19th century",1800,Cultural,,LexicographicNote,0.65,https://www.dwds.de/wb/Banause,DWDS -- Banause,curator,2026-05-23
hyp-based-lilb,based,en,"(older slang, derogatory) behaving like a 'basehead', i.e. a crack-cocaine user (from 1980s slang 'basehead')","(internet slang, approving) admirably true to oneself and unconcerned with others' approval; agreeably bold or unapologetic",Amelioration; Reappropriation,2010,Lil B's reappropriation of 'based' (c. 2010),2010,Media,,LexicographicNote,0.7,https://www.dictionary.com/e/slang/based/,Dictionary.com slang dictionary - based,curator,2026-05-23
hyp-becquerel-radioactivity,becquerel,en,"the surname of the French physicist Antoine Henri Becquerel, discoverer of radioactivity","the SI unit of radioactivity, equal to one nuclear decay per second",Metonymization,,Becquerel's discovery of radioactivity,1896,Technology,Q41269,LexicographicNote,0.9,https://en.wikipedia.org/wiki/Becquerel,Becquerel -- Wikipedia,curator,2026-05-23
hyp-bikini-tests,bikini,en,"Bikini Atoll in the Marshall Islands, site of United States nuclear weapon tests from 1946",a brief two-piece swimsuit for women,Metonymization,,Operation Crossroads nuclear tests at Bikini Atoll,1946,Cultural,Q569545,LexicographicNote,0.85,https://www.etymonline.com/word/bikini,Online Etymology Dictionary -- bikini,curator,2026-05-23
hyp-billig-price,billig,de,"fair, equitable, just, proper; reasonable and appropriate (as in 'recht und billig')","cheap, of low quality, shoddy; low-priced and therefore presumed inferior",Pejoration,,Pejoration ueber die Preisbedeutung,1850,Commercial,,ChangeSignalAlignment; LexicographicNote,0.6,https://www.dwds.de/wb/billig | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,DWDS -- billig | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-biro-patent,biro,en,"the Biro brand of ballpoint pen, named after inventor Laszlo Biro",any ballpoint pen (chiefly British and Commonwealth English),Metonymization,,Laszlo Biro patents the ballpoint pen,1938,Commercial,Q312680,LexicographicNote,0.85,https://en.wiktionary.org/wiki/biro,biro -- Wiktionary,curator,2026-05-23
hyp-bit-binarydigit,bit,en,"a small piece, portion or quantity of something; a short while","in computing, a binary digit; the smallest unit of information, taking the value 0 or 1",Broadening,,coining of 'bit' (binary digit) and the rise of digital computing,1948,Technology,,ChangeSignalAlignment; LexicographicNote,0.65,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/bit | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,"SemEval-2020 Task 1 (English) -- graded change 0.55 for 'bit' | bit (n.2) -- Online Etymology Dictionary (computing sense, coined 1948) | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel)",curator,2026-05-23
hyp-blase-southsea,Blase,de,a bubble: a sphere of gas enclosed in a liquid,an economic bubble: a period of unsustainable speculative asset prices that eventually bursts,Metaphorization,,the South Sea Bubble financial crisis (1720),1720,Commercial,Q18643921,LexicographicNote; Speculative,0.7,https://www.dwds.de/wb/Blase | https://www.duden.de/rechtschreibung/Blase,DWDS - Blase | Duden - Blase,curator,2026-05-23
hyp-blitz-london,blitz,en,"an intensive aerial bombardment, especially the German bombing of Britain in 1940-1941 ('the Blitz')","any sudden, concentrated, intensive effort or campaign (a media blitz, an advertising blitz)",Broadening,,The Blitz: German bombing campaign against Britain,1940,Political,Q6900329,LexicographicNote,0.8,https://www.etymonline.com/word/blitz,Online Etymology Dictionary -- blitz,curator,2026-05-23
hyp-bourbon-county,bourbon,en,"Bourbon County, Kentucky, organized 1785 and named for the French royal house of Bourbon","a type of American corn whiskey originally made in Bourbon County, Kentucky",Metonymization,,"Bourbon County, Kentucky",1840,Commercial,Q486105,LexicographicNote,0.8,https://www.etymonline.com/word/bourbon,Online Etymology Dictionary -- bourbon,curator,2026-05-23
hyp-bowdlerize-shakespeare,bowdlerize,en,"after Thomas Bowdler (1754-1825), editor of the 1818 'Family Shakespeare' from which matter judged unfit was removed","to remove from a text material considered improper or offensive, often to its detriment; to expurgate",Metonymization,,Thomas Bowdler's 'Family Shakespeare' (1818),1818,Cultural,Q1333546,LexicographicNote,0.9,https://www.etymonline.com/word/bowdlerize,Online Etymology Dictionary -- bowdlerize,curator,2026-05-23
hyp-boykott-landleague,Boykott,de,"proper name of Captain Charles C. Boycott (1832-1897), English land agent in County Mayo","organized refusal to deal with a person, business, or country as a means of coercion or protest",Metonymization,,Irish Land League ostracism of Captain Boycott,1880,Political,Q455534,LexicographicNote,0.9,https://www.dwds.de/wb/Boykott,DWDS -- Boykott,curator,2026-05-23
hyp-braille-system,braille,en,"the surname of the French educator Louis Braille, who was himself blind",a tactile writing system of raised dots read by touch; the everyday word for reading and writing used by blind people,Metonymization,,Braille devises the raised-dot system,1824,Technology,Q93182,LexicographicNote,0.9,https://www.etymonline.com/word/braille,braille -- Online Etymology Dictionary,curator,2026-05-23
hyp-brutal-intensifier,brutal,en,"savagely cruel, violent, beastly; like a brute, lacking human feeling (etymonline: 'fierce, savage, cruel' 1640s; earlier 'bestial' mid-15c.)","as a colloquial intensifier: extremely harsh, severe, intense or unpleasant (brutal weather, the brutal truth, a brutal mistake)",Broadening,,Colloquial bleaching of a cruelty word into an intensifier,1970,Cultural,,Speculative,0.55,https://www.merriam-webster.com/dictionary/brutal,Merriam-Webster - brutal,curator,2026-05-23
hyp-bubble-southsea,bubble,en,a thin sphere of liquid enclosing air or gas; a small body of gas in a liquid,a period of trade or speculation in unsound or unsustainable ventures; inflated asset prices destined to collapse,Metaphorization,,the South Sea Bubble financial crisis (1720),1720,Commercial,Q18643921,LexicographicNote,0.8,https://www.etymonline.com/word/bubble | https://www.oed.com/dictionary/bubble_n,"Etymonline - bubble (n.) | Oxford English Dictionary - bubble, n.",curator,2026-05-23
hyp-calico-calicut,calico,en,"of or from Calicut (modern Kozhikode), the Malabar-coast port where Europeans first obtained the cloth",a plain cotton cloth (originally white); in American English later a printed cotton fabric,Metonymization,,Cloth of Calicut (Kozhikode),1530,Commercial,Q28729,LexicographicNote,0.85,https://www.etymonline.com/word/calico,Online Etymology Dictionary -- calico,curator,2026-05-23
hyp-canary-islands,canary,en,"of or from the Canary Islands; short for 'Canary-bird', a finch native to those islands","the small yellow song finch (Serinus canaria), widely kept as a cage bird",Metonymization,,Songbird of the Canary Islands,1570,Commercial,Q5813,LexicographicNote,0.85,https://www.etymonline.com/word/canary,Online Etymology Dictionary -- canary,curator,2026-05-23
hyp-cancel-callout,cancel,en,"to call off or annul an event, arrangement, or subscription; to mark with crossed lines","to withdraw public, social, or commercial support from a person (especially a public figure) over objectionable conduct or speech",Broadening; Metaphorization,2017,Social-media call-out culture and #MeToo (2017),2017,Media,,LexicographicNote,0.75,https://www.merriam-webster.com/wordplay/cancel-culture-words-were-watching,Merriam-Webster - cancel culture,curator,2026-05-23
hyp-cardigan-balaclava,cardigan,en,"the title of James Thomas Brudenell, 7th Earl of Cardigan, English cavalry general",a knitted woollen jacket or sweater fastening down the front,Metonymization,,The Earl of Cardigan at the Charge of the Light Brigade,1854,Cultural,Q335449,LexicographicNote,0.8,https://www.etymonline.com/word/cardigan,cardigan -- Online Etymology Dictionary,curator,2026-05-23
hyp-cassandra-troy,Cassandra,en,"Cassandra, daughter of Priam of Troy, granted prophecy by Apollo but cursed so that her true warnings were never believed","one who prophesies misfortune or disaster, especially a warning of catastrophe that goes unheeded",Metaphorization,,"Cassandra, the unbelieved prophetess of Troy",1660,Cultural,Q170779,LexicographicNote,0.85,https://www.etymonline.com/word/Cassandra,Online Etymology Dictionary -- Cassandra,curator,2026-05-23
hyp-cellophane-brand,cellophane,en,the trademarked transparent regenerated-cellulose film commercialised by Brandenberger,any thin transparent cellulose wrapping film,Broadening,,Cellophane brand film commercialised,1912,Commercial,Q117187,LexicographicNote,0.85,https://en.wiktionary.org/wiki/cellophane,cellophane -- Wiktionary,curator,2026-05-23
hyp-celsius-scale,celsius,en,the surname of the Swedish astronomer Anders Celsius,a temperature scale on which water freezes at 0 degrees and boils at 100 degrees,Metonymization,,Celsius proposes the centigrade temperature scale,1742,Technology,Q81130,LexicographicNote,0.9,https://en.wikipedia.org/wiki/Celsius,Celsius -- Wikipedia,curator,2026-05-23
hyp-champagne-region,champagne,en,"of or from Champagne, a former province in northeast France; short for 'vin de Champagne', wine made in that region","sparkling white wine, originally only that produced in the Champagne region by the methode champenoise",Metonymization,,Wine production in the Champagne province of France,1660,Commercial,,LexicographicNote,0.85,https://www.etymonline.com/word/champagne,Online Etymology Dictionary -- champagne,curator,2026-05-23
hyp-chauvinismus-play,Chauvinismus,de,"from Nicolas Chauvin, a soldier of Napoleon I depicted as filled with uncritical devotion to the emperor","aggressive, exaggerated nationalism or group loyalty; uncritical belief in the superiority of one's own nation or group",Pejoration,,Cogniard brothers' play 'La cocarde tricolore' (1831),1831,Cultural,Q1798716,LexicographicNote,0.8,https://www.dwds.de/wb/Chauvinismus,DWDS -- Chauvinismus,curator,2026-05-23
hyp-circle-polysemy,circle,en,a round plane figure or ring; any roughly circular shape or arrangement,"a group of people connected by shared interest, acquaintance or activity (a circle of friends, literary circles, inner circle)",Broadening,,gradual polysemous extension of 'circle' across the 20th century,1950,Cultural,,ChangeSignalAlignment; Speculative,0.6,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/circle | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,SemEval-2020 Task 1 (English) -- graded change 0.71 for 'circle' | circle (n.) -- Online Etymology Dictionary | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-cloud-aws,cloud,en,a visible mass of condensed water vapour floating in the atmosphere,"cloud computing: remote networked computing resources (servers, storage, software) accessed via the internet, often depicted as a cloud in diagrams",Metaphorization,,Amazon Web Services launch and popularisation of cloud computing (2006),2006,Technology,Q456157,LexicographicNote; Speculative,0.85,https://www.etymonline.com/word/cloud | https://en.wikipedia.org/wiki/Cloud_computing,Etymonline - cloud (n.) | Cloud computing - Wikipedia,curator,2026-05-23
hyp-cologne-eau,cologne,en,"the city of Cologne on the Rhine, where the scented eau de Cologne was first produced",a light perfume of alcohol and aromatic oils; eau de Cologne,Metonymization,,Production of eau de Cologne,1709,Commercial,Q365,LexicographicNote,0.85,https://www.etymonline.com/word/cologne,Online Etymology Dictionary -- cologne,curator,2026-05-23
hyp-cravat-croats,cravat,en,a Croat; specifically the 17th-century light cavalry who wore distinctive linen neck scarves,"a band or scarf of cloth worn around the neck, an early form of the necktie",Metonymization,,Croat cavalry in the Thirty Years War,1650,Cultural,,LexicographicNote,0.8,https://www.etymonline.com/word/cravat,Online Etymology Dictionary -- cravat,curator,2026-05-23
hyp-cringe-memeculture,cringe,en,to bend or crouch in fear or servility; to wince or recoil in embarrassment (verb),(slang) so embarrassing or awkward as to cause discomfort; used predicatively as an adjective or noun (that's cringe),Metaphorization,,"Social-media meme culture (2010s, r/cringe)",2011,Media,,Speculative,0.45,https://www.merriam-webster.com/dictionary/cringe,Merriam-Webster - cringe,curator,2026-05-23
hyp-curie-radioactivity,curie,en,"the surname of the French physicist Pierre Curie, who with his wife Marie discovered radium","a unit of radioactivity, the activity of one gram of radium-226",Metonymization,,The Curies' discovery of radium,1898,Technology,Q37463,LexicographicNote,0.9,https://www.etymonline.com/word/curie,curie -- Online Etymology Dictionary,curator,2026-05-23
hyp-currant-corinth,currant,en,raisin of Corinth; a small seedless dried grape exported from the Greek port of Corinth,"a small dried grape; also the small round berry of the genus Ribes, named by resemblance",Metonymization,,Corinth raisin trade,1500,Commercial,Q103011,LexicographicNote,0.85,https://www.etymonline.com/word/currant,Online Etymology Dictionary -- currant,curator,2026-05-23
hyp-dahlia-cavanilles,dahlia,en,"the surname of the Swedish botanist Anders Dahl, a student of Linnaeus","a garden plant of the genus Dahlia, bearing showy composite flowers",Metonymization,,Cavanilles names the genus Dahlia for Anders Dahl,1791,Cultural,Q496775,LexicographicNote,0.9,https://www.etymonline.com/word/dahlia,dahlia -- Online Etymology Dictionary,curator,2026-05-23
