trigger_id,label,event_date,category,wikidata_qid
trigger-akademie-plato,Plato founds his school in the grove Akademeia,0387,Cultural,Q859
trigger-alternativlos-merkel,Angela Merkel's repeated use of 'alternativlos' 2009-2010,2010,Political,
trigger-ampere-electrodynamics,Ampere founds electrodynamics,1820,Technology,Q675
trigger-angora-city,"Angora (Ancyra / Ankara), Turkey",1745,Commercial,Q3640
trigger-apple-macintosh,Apple Macintosh launch and personal computing revolution,1984,Technology,Q1137478
trigger-arbeit-protestant,Protestant Reformation and the valorisation of secular vocation (Beruf),1530,Cultural,Q12562
trigger-aspirin-bayer,Bayer launches Aspirin brand,1899,Commercial,Q152051
trigger-assassin-crusades,Crusader contact with the Nizari Ismailis,1192,Political,
trigger-atlas-mercator,Mercator's 'Atlas' map collection (1595),1595,Cultural,Q6353
trigger-attack-polysemy,gradual polysemous extension of 'attack' across the 20th century,1950,Cultural,
trigger-aws-launch,Amazon Web Services launch and popularisation of cloud computing (2006),2006,Technology,Q456157
trigger-backfisch-literatur,Student slang origin and 19th c. spread via the Backfischroman,1550,Cultural,
trigger-bakelite-baekeland,Baekeland markets Bakelite resin,1909,Commercial,Q243442
trigger-ball-polysemy,gradual polysemous extension of 'ball' across the 20th century,1950,Cultural,
trigger-banause-bildung,"Neo-humanist cult of Bildung, late 18th to 19th century",1800,Cultural,
trigger-based-lilb,Lil B's reappropriation of 'based' (c. 2010),2010,Media,
trigger-becquerel-radioactivity,Becquerel's discovery of radioactivity,1896,Technology,Q41269
trigger-bikini-tests,Operation Crossroads nuclear tests at Bikini Atoll,1946,Cultural,Q569545
trigger-billig-price,Pejoration ueber die Preisbedeutung,1850,Commercial,
trigger-biro-patent,Laszlo Biro patents the ballpoint pen,1938,Commercial,Q312680
trigger-bit-binarydigit,coining of 'bit' (binary digit) and the rise of digital computing,1948,Technology,
trigger-blitz-london,The Blitz: German bombing campaign against Britain,1940,Political,Q6900329
trigger-blm-movement,Black Lives Matter movement,2013,Political,Q19600530
trigger-bourbon-county,"Bourbon County, Kentucky",1840,Commercial,Q486105
trigger-bowdlerize-shakespeare,Thomas Bowdler's 'Family Shakespeare' (1818),1818,Cultural,Q1333546
trigger-boykott-landleague,Irish Land League ostracism of Captain Boycott,1880,Political,Q455534
trigger-braille-system,Braille devises the raised-dot system,1824,Technology,Q93182
trigger-brutal-intensifier,Colloquial bleaching of a cruelty word into an intensifier,1970,Cultural,
trigger-calico-calicut,Cloth of Calicut (Kozhikode),1530,Commercial,Q28729
trigger-canary-islands,Songbird of the Canary Islands,1570,Commercial,Q5813
trigger-cancel-callout,Social-media call-out culture and #MeToo (2017),2017,Media,
trigger-cardigan-balaclava,The Earl of Cardigan at the Charge of the Light Brigade,1854,Cultural,Q335449
trigger-cassandra-troy,"Cassandra, the unbelieved prophetess of Troy",1660,Cultural,Q170779
trigger-cellophane-brand,Cellophane brand film commercialised,1912,Commercial,Q117187
trigger-celsius-scale,Celsius proposes the centigrade temperature scale,1742,Technology,Q81130
trigger-champagne-region,Wine production in the Champagne province of France,1660,Commercial,
trigger-chauvinismus-play,Cogniard brothers' play 'La cocarde tricolore' (1831),1831,Cultural,Q1798716
trigger-circle-polysemy,gradual polysemous extension of 'circle' across the 20th century,1950,Cultural,
trigger-cologne-eau,Production of eau de Cologne,1709,Commercial,Q365
trigger-computer-virus,naming of the computer virus and early PC infections,1984,Technology,Q14001
trigger-covid,COVID-19 pandemic,2020,Pandemic,Q81068910
trigger-cravat-croats,Croat cavalry in the Thirty Years War,1650,Cultural,
trigger-cringe-memeculture,"Social-media meme culture (2010s, r/cringe)",2011,Media,
trigger-culture-wars,US culture-war polarisation (2019-),2019,Political,
trigger-curie-radioactivity,The Curies' discovery of radium,1898,Technology,Q37463
trigger-currant-corinth,Corinth raisin trade,1500,Commercial,Q103011
trigger-dahlia-cavanilles,Cavanilles names the genus Dahlia for Anders Dahl,1791,Cultural,Q496775
trigger-dalmatian-region,The Dalmatia region,1810,Cultural,Q528042
trigger-damast-damaskus,Figured cloth from Damascus,1400,Commercial,Q3766
trigger-denim-nimes,Textile production at Nimes,1695,Commercial,Q42807
trigger-diesel-patent,Rudolf Diesel's engine patent,1893,Technology,Q12674
trigger-doomscrolling-covid,COVID-19 pandemic,2020,Pandemic,Q81068910
trigger-draconian-code,Draco's Athenian law code (c. 621 BC),0621,Political,
trigger-ecology-movement,the modern environmental movement and the rise of Green politics,1972,Political,
trigger-edge-polysemy,gradual polysemous extension of 'edge' across the 20th century,1950,Cultural,
trigger-egregious-irony,Ironic reversal of a term of praise,1573,Cultural,
trigger-escalator-otis,Otis markets the Escalator brand,1900,Commercial,Q1134069
trigger-etappe-generaluse,gradual 19th-century generalisation of military 'Etappe',1850,Cultural,
trigger-face-polysemy,gradual polysemous extension of 'face' across the 20th century,1950,Cultural,
trigger-facebook-like,Facebook Like button launch (2009),2009,Technology,Q355
trigger-fahrenheit-scale,Fahrenheit invents the mercury thermometer and scale,1714,Technology,Q57073
trigger-fascism-mussolini,Rise of Mussolini's Fasci and the March on Rome,1922,Political,Q468823
trigger-filterblase-pariser,"Eli Pariser, 'The Filter Bubble' (2011)",2011,Media,Q111687183
trigger-foehn-de-brand,Sanitas registers the Foen hair-dryer brand,1909,Commercial,
