lemma	usage_id	period	cluster_id	context
Wende	wende_001	1989	1	Die politische Wende in der DDR veränderte alles.
Wende	wende_002	1989	1	Die Wende brachte eine neue Ära für Ostdeutschland.
Wende	wende_003	1991	1	Nach der Wende mussten viele Betriebe schließen.
Wende	wende_004	1850	2	Die Wende des Jahres markierte den Beginn des Frühlings.
Wende	wende_005	1920	2	Eine dramatische Wende in der Handlung überraschte das Publikum.
Wende	wende_006	1960	2	Die sportliche Wende des Läufers war technisch perfekt.
geil	geil_001	1980	1	Das Konzert war so geil, alle tanzten bis zum Morgengrauen.
geil	geil_002	1990	1	Das neue Album ist echt geil, ich höre es rauf und runter.
geil	geil_003	1850	2	Der geile Bock sprang über den Zaun.
geil	geil_004	1900	2	Sie warf ihm einen geilen Blick zu.
